ano,mes,data,regiao,uf,cidade,bairro,tipo_crime,periodo_dia,ocorrencias,vitimas,prisoes,renda_media,indice_violencia,nivel_risco
2015,1,2015-01-01,Sudeste,ES,Serra,Centro,Homicídio,Tarde,30,6,4,3119.03,45.87,Médio
2015,1,2015-01-01,Sul,PR,Curitiba,Zona Sul,Tráfico,Madrugada,23,6,5,1974.57,53.65,Alto
2015,1,2015-01-01,Sul,PR,Londrina,Centro,Estelionato,Noite,27,5,0,2554.2,23.97,Baixo
2015,1,2015-01-01,Sul,SC,Florianópolis,Periferia,Tráfico,Manhã,32,3,1,2337.16,51.16,Baixo
2015,1,2015-01-01,Sul,SC,Joinville,Zona Sul,Violência doméstica,Noite,33,5,3,4091.08,56.59,Crítico
2015,1,2015-01-01,Sul,RS,Porto Alegre,Periferia,Homicídio,Manhã,29,6,8,3110.03,57.34,Crítico
2015,1,2015-01-01,Sul,RS,Caxias do Sul,Centro,Furto,Noite,37,4,2,3812.63,43.69,Crítico
2015,2,2015-02-01,Norte,AM,Manaus,Zona Sul,Homicídio,Manhã,26,7,1,3672.44,113.14,Médio
2015,2,2015-02-01,Norte,PA,Belém,Zona Norte,Homicídio,Madrugada,24,4,2,2240.19,40.76,Crítico
2015,2,2015-02-01,Norte,PA,Santarém,Centro,Estelionato,Tarde,27,1,2,2926.58,22.95,Crítico
2015,2,2015-02-01,Norte,RO,Porto Velho,Zona Norte,Homicídio,Manhã,32,5,5,2274.65,82.85,Baixo
2015,2,2015-02-01,Norte,TO,Palmas,Periferia,Estelionato,Tarde,24,4,2,3588.18,32.33,Alto
2015,2,2015-02-01,Nordeste,BA,Salvador,Zona Sul,Estelionato,Tarde,38,5,1,3230.45,84.64,Baixo
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,Zona Sul,Roubo,Tarde,25,6,4,2907.6,16.41,Crítico
2015,2,2015-02-01,Nordeste,PE,Recife,Zona Sul,Furto,Noite,31,5,2,2344.48,59.1,Alto
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,Periferia,Violência doméstica,Tarde,24,3,6,2731.0,24.55,Alto
2015,2,2015-02-01,Nordeste,CE,Fortaleza,Zona Sul,Estelionato,Manhã,22,4,6,2643.76,57.88,Baixo
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,Periferia,Furto,Madrugada,21,7,2,2659.88,54.71,Crítico
2015,2,2015-02-01,Nordeste,MA,São Luís,Centro,Homicídio,Tarde,27,1,6,2533.81,95.51,Crítico
2015,2,2015-02-01,Nordeste,PB,João Pessoa,Centro,Violência doméstica,Tarde,37,5,4,3014.32,37.08,Alto
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,Zona Sul,Violência doméstica,Tarde,35,5,2,3131.66,87.71,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,Periferia,Furto,Madrugada,29,4,1,2848.51,37.34,Crítico
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,Centro,Roubo,Madrugada,29,3,3,1620.9,100.12,Alto
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,Zona Sul,Roubo,Noite,36,2,2,2779.53,97.46,Alto
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,Periferia,Roubo,Tarde,31,3,3,2013.36,103.3,Alto
2015,2,2015-02-01,Sudeste,SP,São Paulo,Zona Norte,Tráfico,Madrugada,40,3,2,2534.74,72.22,Médio
2015,2,2015-02-01,Sudeste,SP,Campinas,Centro,Roubo,Tarde,27,6,3,3871.68,40.94,Médio
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,Centro,Homicídio,Tarde,26,3,3,3083.98,85.55,Alto
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,Centro,Roubo,Noite,27,8,5,2901.18,114.16,Baixo
2015,2,2015-02-01,Sudeste,RJ,Niterói,Periferia,Homicídio,Manhã,29,5,2,3581.23,88.87,Crítico
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,Zona Norte,Roubo,Noite,36,2,2,2624.55,100.19,Médio
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,Zona Norte,Tráfico,Tarde,34,6,3,1645.54,57.43,Médio
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,Centro,Violência doméstica,Tarde,21,7,3,2102.57,95.82,Alto
2015,2,2015-02-01,Sudeste,MG,Uberlândia,Centro,Furto,Tarde,28,6,5,1947.58,108.89,Crítico
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,Zona Norte,Tráfico,Noite,25,2,2,2655.7,119.49,Alto
2015,2,2015-02-01,Sudeste,ES,Vitória,Periferia,Furto,Manhã,42,8,4,2486.78,15.95,Alto
2015,2,2015-02-01,Sudeste,ES,Vila Velha,Zona Norte,Tráfico,Tarde,21,8,3,2947.89,18.32,Crítico
2015,2,2015-02-01,Sudeste,ES,Serra,Zona Norte,Estelionato,Manhã,28,5,7,2274.4,18.64,Baixo
2015,2,2015-02-01,Sul,PR,Curitiba,Zona Norte,Roubo,Tarde,39,3,3,2187.5,71.43,Crítico
2015,2,2015-02-01,Sul,PR,Londrina,Zona Norte,Homicídio,Tarde,34,5,4,1911.47,64.18,Alto
2015,2,2015-02-01,Sul,SC,Florianópolis,Zona Norte,Roubo,Tarde,31,5,2,2755.67,114.26,Médio
2015,2,2015-02-01,Sul,SC,Joinville,Zona Sul,Furto,Noite,38,6,4,3275.62,102.03,Baixo
2015,2,2015-02-01,Sul,RS,Porto Alegre,Centro,Violência doméstica,Manhã,22,1,1,3576.8,101.08,Médio
2015,2,2015-02-01,Sul,RS,Caxias do Sul,Zona Norte,Roubo,Tarde,23,4,1,1952.57,111.72,Médio
2015,3,2015-03-01,Norte,AM,Manaus,Centro,Homicídio,Manhã,24,5,5,2607.49,43.55,Crítico
2015,3,2015-03-01,Norte,PA,Belém,Centro,Estelionato,Madrugada,20,4,6,2329.84,106.09,Alto
2015,3,2015-03-01,Norte,PA,Santarém,Periferia,Violência doméstica,Manhã,23,3,1,2748.08,31.04,Crítico
2015,3,2015-03-01,Norte,RO,Porto Velho,Zona Norte,Estelionato,Manhã,29,4,2,2577.83,41.04,Crítico
2015,3,2015-03-01,Norte,TO,Palmas,Centro,Homicídio,Tarde,30,7,2,2902.22,70.98,Crítico
2015,3,2015-03-01,Nordeste,BA,Salvador,Periferia,Estelionato,Manhã,34,7,3,2003.19,46.35,Baixo
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,Zona Sul,Tráfico,Madrugada,26,2,4,2697.19,29.03,Médio
2015,3,2015-03-01,Nordeste,PE,Recife,Zona Sul,Roubo,Madrugada,31,7,3,1719.06,34.49,Alto
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,Periferia,Furto,Noite,30,5,2,1644.83,33.59,Baixo
2015,3,2015-03-01,Nordeste,CE,Fortaleza,Periferia,Violência doméstica,Tarde,21,3,2,2552.33,40.87,Médio
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,Periferia,Furto,Madrugada,37,1,3,2708.15,92.06,Crítico
2015,3,2015-03-01,Nordeste,MA,São Luís,Centro,Furto,Manhã,33,7,2,3813.4,42.1,Médio
2015,3,2015-03-01,Nordeste,PB,João Pessoa,Zona Sul,Tráfico,Madrugada,27,5,6,2774.55,48.04,Médio
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,Zona Sul,Tráfico,Madrugada,35,4,6,2608.21,52.39,Alto
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,Zona Norte,Tráfico,Noite,24,3,5,2694.69,89.7,Crítico
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,Zona Norte,Furto,Madrugada,37,0,3,3039.14,105.52,Baixo
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,Zona Norte,Violência doméstica,Madrugada,30,5,0,3601.47,14.58,Baixo
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,Zona Sul,Tráfico,Madrugada,33,8,7,2474.11,27.83,Alto
2015,3,2015-03-01,Sudeste,SP,São Paulo,Zona Norte,Furto,Noite,21,3,4,3020.7,84.35,Crítico
2015,3,2015-03-01,Sudeste,SP,Campinas,Periferia,Estelionato,Tarde,33,4,3,2550.41,103.6,Alto
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,Centro,Tráfico,Manhã,29,5,6,2633.43,46.85,Baixo
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,Periferia,Roubo,Noite,28,4,5,3405.75,108.42,Crítico
2015,3,2015-03-01,Sudeste,RJ,Niterói,Periferia,Estelionato,Madrugada,31,6,1,1980.42,101.51,Crítico
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,Zona Norte,Homicídio,Noite,31,6,9,1512.2,71.55,Crítico
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,Zona Norte,Roubo,Noite,32,4,1,2579.8,110.65,Médio
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,Zona Sul,Furto,Tarde,26,9,4,1737.25,32.09,Alto
2015,3,2015-03-01,Sudeste,MG,Uberlândia,Centro,Furto,Noite,34,7,2,1349.42,19.88,Médio
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,Zona Norte,Estelionato,Tarde,30,2,4,2287.48,119.76,Baixo
2015,3,2015-03-01,Sudeste,ES,Vitória,Zona Sul,Violência doméstica,Madrugada,30,7,5,2552.57,59.7,Alto
2015,3,2015-03-01,Sudeste,ES,Vila Velha,Zona Norte,Furto,Manhã,37,3,2,2721.29,76.95,Baixo
2015,3,2015-03-01,Sudeste,ES,Serra,Periferia,Roubo,Tarde,32,4,3,3275.63,110.02,Médio
2015,3,2015-03-01,Sul,PR,Curitiba,Zona Sul,Tráfico,Manhã,42,6,3,3094.4,112.13,Crítico
2015,3,2015-03-01,Sul,PR,Londrina,Zona Sul,Tráfico,Tarde,27,6,5,3105.74,42.89,Crítico
2015,3,2015-03-01,Sul,SC,Florianópolis,Centro,Roubo,Tarde,28,5,3,3928.06,21.38,Alto
2015,3,2015-03-01,Sul,SC,Joinville,Zona Norte,Furto,Tarde,28,3,1,3802.36,49.73,Médio
2015,3,2015-03-01,Sul,RS,Porto Alegre,Zona Norte,Estelionato,Manhã,37,5,1,3436.63,21.34,Médio
2015,3,2015-03-01,Sul,RS,Caxias do Sul,Zona Norte,Homicídio,Manhã,29,3,1,3028.98,99.87,Crítico
2015,4,2015-04-01,Norte,AM,Manaus,Zona Sul,Homicídio,Noite,33,8,3,3620.76,31.07,Médio
2015,4,2015-04-01,Norte,PA,Belém,Zona Norte,Violência doméstica,Tarde,32,6,2,2257.02,19.73,Baixo
2015,4,2015-04-01,Norte,PA,Santarém,Zona Norte,Estelionato,Madrugada,28,9,0,2888.01,100.57,Médio
2015,4,2015-04-01,Norte,RO,Porto Velho,Periferia,Violência doméstica,Madrugada,33,10,5,3125.19,40.76,Alto
2015,4,2015-04-01,Norte,TO,Palmas,Zona Norte,Roubo,Manhã,26,10,7,2349.79,28.04,Crítico
2015,4,2015-04-01,Nordeste,BA,Salvador,Centro,Estelionato,Madrugada,29,3,1,2637.97,35.78,Alto
2015,4,2015-04-01,Nordeste,BA,Feira de Santana,Centro,Roubo,Tarde,32,5,2,2286.02,38.84,Médio
2015,4,2015-04-01,Nordeste,PE,Recife,Zona Sul,Furto,Madrugada,30,6,1,2425.57,109.16,Baixo
2015,4,2015-04-01,Nordeste,PE,Jaboatão dos Guararapes,Periferia,Roubo,Tarde,28,5,4,2726.89,112.46,Crítico
2015,4,2015-04-01,Nordeste,CE,Fortaleza,Zona Sul,Tráfico,Madrugada,30,6,3,3936.53,28.28,Crítico
2015,4,2015-04-01,Nordeste,CE,Juazeiro do Norte,Centro,Furto,Madrugada,17,5,3,2626.14,20.73,Médio
2015,4,2015-04-01,Nordeste,MA,São Luís,Periferia,Roubo,Manhã,23,3,1,2247.58,41.44,Crítico
2015,4,2015-04-01,Nordeste,PB,João Pessoa,Centro,Violência doméstica,Madrugada,33,2,4,2975.25,73.74,Alto
2015,4,2015-04-01,Centro-Oeste,DF,Brasília,Periferia,Tráfico,Noite,39,5,3,3384.7,89.87,Médio
2015,4,2015-04-01,Centro-Oeste,GO,Goiânia,Periferia,Violência doméstica,Manhã,35,6,4,1362.44,33.64,Baixo
2015,4,2015-04-01,Centro-Oeste,GO,Aparecida de Goiânia,Centro,Homicídio,Noite,25,6,3,3814.36,22.44,Baixo
2015,4,2015-04-01,Centro-Oeste,MT,Cuiabá,Periferia,Estelionato,Noite,20,3,3,2531.49,51.87,Baixo
2015,4,2015-04-01,Centro-Oeste,MS,Campo Grande,Zona Sul,Estelionato,Manhã,30,5,1,2304.34,70.62,Baixo
2015,4,2015-04-01,Sudeste,SP,São Paulo,Periferia,Tráfico,Tarde,39,9,4,2810.8,42.24,Crítico
2015,4,2015-04-01,Sudeste,SP,Campinas,Centro,Violência doméstica,Tarde,25,5,2,2455.46,34.3,Crítico
2015,4,2015-04-01,Sudeste,SP,Ribeirão Preto,Zona Norte,Tráfico,Tarde,32,1,4,2146.56,69.15,Baixo
2015,4,2015-04-01,Sudeste,RJ,Rio de Janeiro,Zona Norte,Tráfico,Noite,29,6,2,2488.05,75.15,Baixo
2015,4,2015-04-01,Sudeste,RJ,Niterói,Centro,Estelionato,Noite,28,6,1,3177.11,74.34,Médio
2015,4,2015-04-01,Sudeste,RJ,Nova Iguaçu,Zona Norte,Estelionato,Madrugada,32,5,2,3773.92,35.53,Crítico
2015,4,2015-04-01,Sudeste,RJ,Petrópolis,Centro,Tráfico,Manhã,40,4,2,2299.53,55.29,Baixo
2015,4,2015-04-01,Sudeste,MG,Belo Horizonte,Zona Sul,Homicídio,Tarde,28,8,5,2370.1,119.68,Baixo
2015,4,2015-04-01,Sudeste,MG,Uberlândia,Periferia,Roubo,Manhã,26,4,4,2084.31,18.0,Alto
2015,4,2015-04-01,Sudeste,MG,Juiz de Fora,Centro,Homicídio,Manhã,23,7,5,3776.07,72.01,Baixo
2015,4,2015-04-01,Sudeste,ES,Vitória,Periferia,Tráfico,Madrugada,28,5,1,2632.35,91.95,Baixo
2015,4,2015-04-01,Sudeste,ES,Vila Velha,Zona Norte,Homicídio,Madrugada,34,6,1,2382.35,102.61,Baixo
2015,4,2015-04-01,Sudeste,ES,Serra,Periferia,Estelionato,Tarde,28,4,4,3468.53,100.27,Alto
2015,4,2015-04-01,Sul,PR,Curitiba,Zona Norte,Violência doméstica,Manhã,39,4,4,1810.09,20.83,Crítico
2015,4,2015-04-01,Sul,PR,Londrina,Centro,Violência doméstica,Noite,34,9,5,3508.45,84.54,Médio
2015,4,2015-04-01,Sul,SC,Florianópolis,Zona Sul,Homicídio,Tarde,31,3,4,3977.49,51.35,Alto
2015,4,2015-04-01,Sul,SC,Joinville,Centro,Roubo,Tarde,31,5,5,2708.36,31.27,Crítico
2015,4,2015-04-01,Sul,RS,Porto Alegre,Zona Sul,Homicídio,Manhã,30,5,3,3080.67,40.49,Crítico
2015,4,2015-04-01,Sul,RS,Caxias do Sul,Periferia,Roubo,Manhã,30,1,1,2191.23,113.41,Crítico
2015,5,2015-05-01,Norte,AM,Manaus,Centro,Violência doméstica,Noite,24,3,5,1564.57,45.75,Médio
2015,5,2015-05-01,Norte,PA,Belém,Periferia,Estelionato,Madrugada,35,3,1,3004.28,98.32,Baixo
2015,5,2015-05-01,Norte,PA,Santarém,Zona Norte,Homicídio,Tarde,33,5,2,1958.32,15.79,Alto
2015,5,2015-05-01,Norte,RO,Porto Velho,Centro,Tráfico,Noite,28,2,1,2271.87,86.1,Alto
2015,5,2015-05-01,Norte,TO,Palmas,Periferia,Homicídio,Madrugada,30,5,3,2117.03,88.23,Alto
2015,5,2015-05-01,Nordeste,BA,Salvador,Zona Norte,Tráfico,Manhã,27,2,7,3024.04,27.0,Crítico
2015,5,2015-05-01,Nordeste,BA,Feira de Santana,Centro,Violência doméstica,Tarde,30,7,7,3414.11,53.69,Baixo
2015,5,2015-05-01,Nordeste,PE,Recife,Periferia,Roubo,Manhã,31,6,2,2621.41,94.97,Alto
2015,5,2015-05-01,Nordeste,PE,Jaboatão dos Guararapes,Zona Sul,Violência doméstica,Tarde,28,2,2,3933.14,113.29,Crítico
2015,5,2015-05-01,Nordeste,CE,Fortaleza,Centro,Violência doméstica,Noite,25,6,5,2684.72,110.41,Médio
2015,5,2015-05-01,Nordeste,CE,Juazeiro do Norte,Periferia,Roubo,Manhã,25,7,6,2201.94,102.12,Crítico
2015,5,2015-05-01,Nordeste,MA,São Luís,Centro,Roubo,Tarde,36,4,2,3207.84,62.21,Alto
2015,5,2015-05-01,Nordeste,PB,João Pessoa,Zona Norte,Tráfico,Manhã,34,3,3,1735.89,21.95,Médio
2015,5,2015-05-01,Centro-Oeste,DF,Brasília,Periferia,Furto,Manhã,30,5,2,2942.04,98.43,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Goiânia,Periferia,Violência doméstica,Madrugada,34,8,2,3566.05,94.5,Alto
2015,5,2015-05-01,Centro-Oeste,GO,Aparecida de Goiânia,Centro,Violência doméstica,Tarde,33,9,1,2829.55,111.54,Médio
2015,5,2015-05-01,Centro-Oeste,MT,Cuiabá,Periferia,Furto,Manhã,34,6,1,3700.03,114.44,Alto
2015,5,2015-05-01,Centro-Oeste,MS,Campo Grande,Zona Norte,Furto,Tarde,30,4,5,2979.9,99.52,Crítico
2015,5,2015-05-01,Sudeste,SP,São Paulo,Periferia,Homicídio,Tarde,27,5,1,2847.49,93.95,Crítico
2015,5,2015-05-01,Sudeste,SP,Campinas,Periferia,Violência doméstica,Manhã,29,2,2,2301.33,71.08,Baixo
2015,5,2015-05-01,Sudeste,SP,Ribeirão Preto,Zona Sul,Furto,Madrugada,26,4,4,1238.24,112.9,Crítico
2015,5,2015-05-01,Sudeste,RJ,Rio de Janeiro,Centro,Estelionato,Noite,29,8,3,2738.86,74.7,Médio
2015,5,2015-05-01,Sudeste,RJ,Niterói,Centro,Furto,Manhã,26,6,0,1593.84,104.97,Médio
2015,5,2015-05-01,Sudeste,RJ,Nova Iguaçu,Zona Sul,Furto,Madrugada,37,4,4,3070.95,57.52,Médio
2015,5,2015-05-01,Sudeste,RJ,Petrópolis,Periferia,Tráfico,Noite,16,6,2,1753.93,105.05,Baixo
2015,5,2015-05-01,Sudeste,MG,Belo Horizonte,Zona Norte,Homicídio,Manhã,28,7,1,3116.97,17.81,Baixo
2015,5,2015-05-01,Sudeste,MG,Uberlândia,Centro,Estelionato,Tarde,32,4,1,2275.66,100.05,Baixo
2015,5,2015-05-01,Sudeste,MG,Juiz de Fora,Centro,Roubo,Tarde,26,3,4,2174.81,14.24,Médio
2015,5,2015-05-01,Sudeste,ES,Vitória,Zona Sul,Tráfico,Noite,25,5,5,2528.35,86.34,Baixo
2015,5,2015-05-01,Sudeste,ES,Vila Velha,Centro,Estelionato,Madrugada,34,5,1,3045.01,94.73,Baixo
2015,5,2015-05-01,Sudeste,ES,Serra,Zona Sul,Violência doméstica,Madrugada,25,9,1,2169.82,39.05,Alto
2015,5,2015-05-01,Sul,PR,Curitiba,Zona Norte,Furto,Noite,33,3,3,3530.24,77.41,Baixo
2015,5,2015-05-01,Sul,PR,Londrina,Zona Norte,Furto,Noite,30,5,6,3053.75,91.81,Médio
2015,5,2015-05-01,Sul,SC,Florianópolis,Centro,Furto,Madrugada,28,4,7,3448.72,44.19,Crítico
2015,5,2015-05-01,Sul,SC,Joinville,Centro,Estelionato,Manhã,34,12,0,3717.28,30.35,Baixo
2015,5,2015-05-01,Sul,RS,Porto Alegre,Zona Sul,Furto,Madrugada,30,4,0,2248.58,52.54,Médio
2015,5,2015-05-01,Sul,RS,Caxias do Sul,Centro,Roubo,Tarde,29,9,3,3589.38,99.53,Crítico
2015,6,2015-06-01,Norte,AM,Manaus,Zona Norte,Estelionato,Noite,20,8,5,3330.28,27.78,Médio
2015,6,2015-06-01,Norte,PA,Belém,Centro,Roubo,Manhã,24,5,1,1873.16,39.1,Médio
2015,6,2015-06-01,Norte,PA,Santarém,Periferia,Furto,Madrugada,32,5,2,3840.9,115.28,Crítico
2015,6,2015-06-01,Norte,RO,Porto Velho,Zona Norte,Estelionato,Noite,33,1,4,3063.09,33.04,Baixo
2015,6,2015-06-01,Norte,TO,Palmas,Centro,Violência doméstica,Madrugada,29,1,8,2453.15,38.54,Médio
2015,6,2015-06-01,Nordeste,BA,Salvador,Periferia,Furto,Tarde,31,10,0,2737.36,40.78,Baixo
2015,6,2015-06-01,Nordeste,BA,Feira de Santana,Zona Norte,Roubo,Tarde,28,5,4,2910.04,61.14,Baixo
2015,6,2015-06-01,Nordeste,PE,Recife,Centro,Roubo,Manhã,34,1,0,1615.29,109.39,Médio
2015,6,2015-06-01,Nordeste,PE,Jaboatão dos Guararapes,Zona Sul,Estelionato,Tarde,25,3,2,2668.23,10.02,Médio
2015,6,2015-06-01,Nordeste,CE,Fortaleza,Zona Sul,Tráfico,Tarde,33,6,2,2076.1,19.61,Crítico
2015,6,2015-06-01,Nordeste,CE,Juazeiro do Norte,Centro,Roubo,Noite,38,2,3,2857.49,45.66,Baixo
2015,6,2015-06-01,Nordeste,MA,São Luís,Zona Sul,Homicídio,Madrugada,29,2,2,3500.93,61.32,Médio
2015,6,2015-06-01,Nordeste,PB,João Pessoa,Zona Norte,Homicídio,Tarde,34,6,5,2902.24,83.29,Médio
2015,6,2015-06-01,Centro-Oeste,DF,Brasília,Zona Sul,Furto,Noite,37,9,4,2193.76,74.72,Alto
2015,6,2015-06-01,Centro-Oeste,GO,Goiânia,Centro,Violência doméstica,Noite,32,5,4,3042.17,16.65,Baixo
2015,6,2015-06-01,Centro-Oeste,GO,Aparecida de Goiânia,Periferia,Roubo,Madrugada,34,7,3,3341.18,56.89,Baixo
2015,6,2015-06-01,Centro-Oeste,MT,Cuiabá,Centro,Tráfico,Madrugada,25,6,3,2162.57,108.16,Crítico
2015,6,2015-06-01,Centro-Oeste,MS,Campo Grande,Centro,Furto,Noite,31,6,3,2858.08,21.13,Médio
2015,6,2015-06-01,Sudeste,SP,São Paulo,Zona Sul,Roubo,Noite,23,6,4,2132.19,79.95,Crítico
2015,6,2015-06-01,Sudeste,SP,Campinas,Periferia,Roubo,Manhã,30,7,4,2429.5,50.3,Alto
2015,6,2015-06-01,Sudeste,SP,Ribeirão Preto,Zona Sul,Tráfico,Noite,27,1,1,2098.32,56.6,Baixo
2015,6,2015-06-01,Sudeste,RJ,Rio de Janeiro,Centro,Violência doméstica,Noite,22,7,2,1942.68,57.67,Crítico
2015,6,2015-06-01,Sudeste,RJ,Niterói,Centro,Estelionato,Noite,31,3,5,2627.49,111.68,Crítico
2015,6,2015-06-01,Sudeste,RJ,Nova Iguaçu,Zona Norte,Roubo,Tarde,40,6,3,4256.37,98.51,Alto
2015,6,2015-06-01,Sudeste,RJ,Petrópolis,Zona Sul,Furto,Tarde,39,10,3,2914.0,63.61,Crítico
2015,6,2015-06-01,Sudeste,MG,Belo Horizonte,Periferia,Roubo,Noite,27,7,6,3996.85,25.24,Alto
2015,6,2015-06-01,Sudeste,MG,Uberlândia,Zona Sul,Tráfico,Madrugada,23,6,2,2221.98,36.94,Crítico
2015,6,2015-06-01,Sudeste,MG,Juiz de Fora,Periferia,Tráfico,Madrugada,19,6,3,2866.06,56.87,Médio
2015,6,2015-06-01,Sudeste,ES,Vitória,Zona Sul,Roubo,Tarde,34,5,1,3864.6,109.85,Crítico
2015,6,2015-06-01,Sudeste,ES,Vila Velha,Zona Sul,Tráfico,Tarde,30,3,0,3567.73,44.73,Crítico
2015,6,2015-06-01,Sudeste,ES,Serra,Periferia,Furto,Noite,22,6,3,2839.05,24.8,Médio
2015,6,2015-06-01,Sul,PR,Curitiba,Zona Sul,Roubo,Noite,32,6,2,3003.28,94.73,Médio
